,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
14321,robotics and automation engineering,banking and universal banking concepts,0.514,17,12,service,0.412,economics,0.176,finance,0.333,international_business,0.25,5,6,Innovation & Technology Management,"Finance, Governance & Regulation"
14322,social work and symbolic interaction,admission control policies and mechanisms,0.514,14,10,service,0.357,human_resources,0.214,operations,0.8,management,0.2,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14323,public-private partnerships,"servicescapes and their design, management, and theory",0.514,15,14,operations,0.333,economics,0.2,service,0.714,marketing,0.143,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
14324,value cocreation in service contexts,efficiency measurement and analysis,0.514,20,13,service,0.75,information_systems,0.1,operations,0.692,management,0.154,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14325,tax policy and enforcement,justice perceptions and theories in service contexts,0.514,15,13,accounting,0.467,economics,0.2,service,0.615,ethics,0.154,6,7,"Finance, Governance & Regulation",Marketing & Customer Relationship Management
14326,service research and methodologies,financial analysis and advisory,0.514,51,20,service,0.882,marketing,0.078,accounting,0.35,marketing,0.3,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
14327,service experience and journey design,audit quality and regulatory framework,0.514,12,12,service,0.5,operations,0.417,accounting,0.75,ethics,0.167,14,6,Service Operations & Design,"Finance, Governance & Regulation"
14328,customer-employee and service provider interactions,approximation and asymptotic methods in queueing,0.514,70,23,service,0.3,organization,0.243,operations,0.913,management,0.087,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14329,taxation theory and policy,value creation and co-creation in service contexts,0.514,42,17,accounting,0.571,ethics,0.143,service,0.588,marketing,0.294,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
14330,innovation measurement and evaluation,service encounter evaluation and quality,0.514,37,12,economics,0.486,finance,0.135,service,0.75,marketing,0.25,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
14331,psychometrics and psychometric assessment,service experience and journey design,0.514,63,12,marketing,0.397,organization,0.254,service,0.5,operations,0.417,1,14,Consumer Psychology & Decision Making,Service Operations & Design
14332,user innovation theory and research,service satisfaction and quality,0.514,24,10,economics,0.625,management,0.167,service,0.5,accounting,0.1,5,7,Innovation & Technology Management,Marketing & Customer Relationship Management
14333,employee satisfaction and related attitudes,healthcare scheduling optimization,0.514,22,10,service,0.364,marketing,0.227,operations,0.9,management,0.1,2,10,Organizational Behavior & HRM,Healthcare Management & Policy
14334,stochastic demand modeling and processes,emotional expression and engagement in service interactions,0.514,27,13,operations,0.741,management,0.259,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
14335,customer-employee and service provider interactions,urban transportation systems and planning,0.514,70,19,service,0.3,organization,0.243,operations,0.737,management,0.158,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14336,service science and research,markov processes and markov chain modeling,0.514,44,16,service,0.477,information_systems,0.136,operations,0.875,management,0.062,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14337,medicine and medical practice,emotional and cognitive responses to service failures,0.514,22,10,operations,0.5,management,0.182,service,0.5,marketing,0.3,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
14338,multinational enterprise strategy and studies,service experience and journey design,0.514,16,12,international_business,0.5,ethics,0.25,service,0.5,operations,0.417,15,14,Retailing & Customer Experience,Service Operations & Design
14339,monetary policy and economics,service satisfaction and quality,0.514,21,10,economics,0.476,finance,0.286,service,0.5,accounting,0.1,6,7,"Finance, Governance & Regulation",Marketing & Customer Relationship Management
14340,service science and research,regional science and studies,0.514,44,13,service,0.477,information_systems,0.136,economics,0.385,finance,0.231,18,5,Service-Dominant Logic & Value Co-creation,Innovation & Technology Management
14341,"customer attitudes, perceptions, and behavioral intentions",regional innovation systems and contexts,0.514,49,25,service,0.367,marketing,0.347,economics,0.44,accounting,0.24,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
14342,service encounter interaction and process,mergers and acquisitions,0.514,23,35,service,0.609,marketing,0.13,management,0.371,marketing,0.286,14,8,Service Operations & Design,Strategic Management & Performance
14343,customer-employee and service provider interactions,performance analysis and evaluation of queueing systems,0.514,70,27,service,0.3,organization,0.243,operations,0.704,management,0.296,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14344,"servicescapes and their design, management, and theory",server assignment and scheduling policies,0.514,14,10,service,0.714,marketing,0.143,operations,0.8,management,0.2,7,0,Marketing & Customer Relationship Management,Operations Research & Queueing Theory
14345,service research and methodologies,fluid approximation and fluid limit models,0.514,51,25,service,0.882,marketing,0.078,operations,0.8,management,0.2,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14346,emotional and cognitive responses to service failures,microfinance and business models,0.514,10,14,service,0.5,marketing,0.3,ethics,0.857,economics,0.143,1,11,Consumer Psychology & Decision Making,Sustainability & CSR
14347,new service development,microfinance and business models,0.514,22,14,service,0.455,operations,0.318,ethics,0.857,economics,0.143,14,11,Service Operations & Design,Sustainability & CSR
14348,social work and symbolic interaction,wage determination and labor market factors,0.514,14,12,service,0.357,human_resources,0.214,economics,0.417,accounting,0.167,3,4,Institutional & Social Studies,Platform Economics & Market Design
14349,economic growth theories and analysis,social work and symbolic interaction,0.514,40,14,economics,0.65,finance,0.1,service,0.357,human_resources,0.214,4,3,Platform Economics & Market Design,Institutional & Social Studies
14350,bayesian regression and statistical modeling,social work and symbolic interaction,0.514,39,14,marketing,0.667,operations,0.128,service,0.357,human_resources,0.214,9,3,Data Science & Machine Learning,Institutional & Social Studies
14351,service ecosystems theory and research,financial analysis and advisory,0.514,15,20,service,0.733,marketing,0.2,accounting,0.35,marketing,0.3,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
14352,stochastic demand modeling and processes,new service development,0.514,27,22,operations,0.741,management,0.259,service,0.455,operations,0.318,0,14,Operations Research & Queueing Theory,Service Operations & Design
14353,service experience evaluation and management,resource allocation optimization and efficiency,0.514,15,13,service,0.667,operations,0.267,operations,0.769,management,0.154,14,0,Service Operations & Design,Operations Research & Queueing Theory
14354,distributionally robust optimization,"servicescapes and their design, management, and theory",0.514,17,14,operations,0.941,management,0.059,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14355,intellectual property rights and law,service encounter evaluation and quality,0.514,50,12,economics,0.34,organization,0.18,service,0.75,marketing,0.25,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
14356,heuristic policy design and improvement,"servicescapes and their design, management, and theory",0.514,15,14,operations,0.8,management,0.2,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14357,service experience evaluation and management,vehicle routing problem variants,0.514,15,13,service,0.667,operations,0.267,operations,1.0,accounting,0.0,14,0,Service Operations & Design,Operations Research & Queueing Theory
14358,value cocreation in service contexts,business intelligence and analytics,0.514,20,28,service,0.75,information_systems,0.1,marketing,0.464,information_systems,0.214,18,9,Service-Dominant Logic & Value Co-creation,Data Science & Machine Learning
14359,service science and research,inventory optimization in supply chain management,0.514,44,24,service,0.477,information_systems,0.136,operations,0.958,management,0.042,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14360,new service development,e-business and digital integration,0.514,22,15,service,0.455,operations,0.318,information_systems,0.4,operations,0.267,14,12,Service Operations & Design,IT & Digital Platform Management
14361,robust optimization methods and modeling,service encounter evaluation and quality,0.514,30,12,operations,0.867,management,0.133,service,0.75,marketing,0.25,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
14362,service ecosystems theory and research,routing policies and control in queueing systems and networks,0.514,15,11,service,0.733,marketing,0.2,operations,0.818,management,0.182,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14363,service ecosystems theory and research,statistical estimation and inference,0.514,15,17,service,0.733,marketing,0.2,economics,0.471,operations,0.235,3,9,Institutional & Social Studies,Data Science & Machine Learning
14364,service ecosystems theory and research,general behavioral intention concepts,0.514,15,22,service,0.733,marketing,0.2,marketing,0.5,service,0.318,3,1,Institutional & Social Studies,Consumer Psychology & Decision Making
14365,service ecosystems theory and research,latent variable modeling techniques,0.514,15,22,service,0.733,marketing,0.2,marketing,0.636,management,0.091,3,9,Institutional & Social Studies,Data Science & Machine Learning
14366,service ecosystems theory and research,complaint management and handling,0.514,15,16,service,0.733,marketing,0.2,marketing,0.438,service,0.438,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
14367,"customer attitudes, perceptions, and behavioral intentions",monetary policy and economics,0.514,49,21,service,0.367,marketing,0.347,economics,0.476,finance,0.286,7,6,Marketing & Customer Relationship Management,"Finance, Governance & Regulation"
14368,interdisciplinary and multidisciplinary research approaches and collaboration,healthcare scheduling optimization,0.514,37,10,service,0.297,management,0.216,operations,0.9,management,0.1,3,10,Institutional & Social Studies,Healthcare Management & Policy
14369,service experience evaluation and management,online learning and optimization algorithms,0.514,15,14,service,0.667,operations,0.267,operations,0.786,management,0.214,14,0,Service Operations & Design,Operations Research & Queueing Theory
14370,transformative service research,markovian and non-markovian queueing models,0.514,17,14,service,0.941,marketing,0.059,management,0.5,operations,0.5,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14371,service encounter evaluation and quality,professional studies and practice,0.514,12,12,service,0.75,marketing,0.25,management,0.417,organization,0.417,1,3,Consumer Psychology & Decision Making,Institutional & Social Studies
14372,profit optimization and maximization,frontline employee behavior and management,0.514,26,19,operations,0.5,management,0.154,service,0.684,marketing,0.316,0,2,Operations Research & Queueing Theory,Organizational Behavior & HRM
14373,organizational behavior and management in healthcare,ai applications in service delivery and systems,0.514,10,10,operations,0.3,service,0.2,service,0.8,marketing,0.2,10,17,Healthcare Management & Policy,AI & Human-Computer Interaction
14374,industrial economics,service encounter interaction and process,0.514,92,23,economics,0.304,finance,0.12,service,0.609,marketing,0.13,5,14,Innovation & Technology Management,Service Operations & Design
14375,managerial science and applications,emotional and cognitive responses to service failures,0.514,25,10,management,0.32,marketing,0.16,service,0.5,marketing,0.3,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
14376,transformative service research,cost and profit optimization in inventory systems,0.514,17,13,service,0.941,marketing,0.059,operations,0.846,management,0.154,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14377,new public management (npm) reforms,service satisfaction and quality,0.514,10,10,organization,0.4,ethics,0.2,service,0.5,accounting,0.1,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
14378,robotics and automation engineering,queueing models with service and arrival variability,0.514,17,10,service,0.412,economics,0.176,operations,0.8,management,0.2,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
14379,service experience and journey design,organizational adaptation and evolution,0.514,12,25,service,0.5,operations,0.417,management,0.52,organization,0.24,14,2,Service Operations & Design,Organizational Behavior & HRM
14380,multi-server and many-server queueing models and systems,justice perceptions and theories in service contexts,0.514,32,13,operations,0.688,management,0.312,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14381,service encounter evaluation and quality,server assignment and scheduling policies,0.514,12,10,service,0.75,marketing,0.25,operations,0.8,management,0.2,1,0,Consumer Psychology & Decision Making,Operations Research & Queueing Theory
14382,distributed computing and systems,service satisfaction and quality,0.514,11,10,information_systems,0.455,operations,0.455,service,0.5,accounting,0.1,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14383,innovation policy development and implementation,emotional and cognitive responses to service failures,0.514,44,10,economics,0.455,organization,0.205,service,0.5,marketing,0.3,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
14384,value cocreation in service contexts,sociology of work and employment,0.514,20,18,service,0.75,information_systems,0.1,human_resources,0.444,organization,0.278,18,3,Service-Dominant Logic & Value Co-creation,Institutional & Social Studies
14385,approximation and asymptotic methods in queueing,employee satisfaction and related attitudes,0.514,23,22,operations,0.913,management,0.087,service,0.364,marketing,0.227,0,2,Operations Research & Queueing Theory,Organizational Behavior & HRM
14386,emotional expression and engagement in service interactions,newsvendor models and variants,0.514,13,13,service,0.615,marketing,0.231,operations,0.769,management,0.231,1,0,Consumer Psychology & Decision Making,Operations Research & Queueing Theory
14387,employee satisfaction and related attitudes,open source software development,0.514,22,15,service,0.364,marketing,0.227,information_systems,0.4,economics,0.2,2,12,Organizational Behavior & HRM,IT & Digital Platform Management
14388,health outcomes and outcomes research,service encounter evaluation and quality,0.513,13,12,economics,0.308,operations,0.308,service,0.75,marketing,0.25,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
14389,health information systems,emotional expression and engagement in service interactions,0.513,24,13,information_systems,0.583,operations,0.292,service,0.615,marketing,0.231,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
14390,employee satisfaction and related attitudes,ethics in finance,0.513,22,14,service,0.364,marketing,0.227,ethics,1.0,accounting,0.0,2,11,Organizational Behavior & HRM,Sustainability & CSR
14391,urban and regional planning,employee satisfaction and related attitudes,0.513,20,22,operations,0.45,organization,0.15,service,0.364,marketing,0.227,5,2,Innovation & Technology Management,Organizational Behavior & HRM
14392,electrical and electronic engineering,value creation and co-creation in service contexts,0.513,20,17,operations,0.6,information_systems,0.15,service,0.588,marketing,0.294,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14393,service satisfaction and quality,health disparities and related research,0.513,10,10,service,0.5,accounting,0.1,operations,0.4,economics,0.3,7,10,Marketing & Customer Relationship Management,Healthcare Management & Policy
14394,accounting and auditing standards and practices,technology adoption in service industries,0.513,23,11,accounting,0.739,ethics,0.261,service,0.545,management,0.182,6,14,"Finance, Governance & Regulation",Service Operations & Design
14395,congestion management and modeling in service systems,service encounter evaluation and quality,0.513,16,12,operations,0.5,management,0.375,service,0.75,marketing,0.25,14,1,Service Operations & Design,Consumer Psychology & Decision Making
14396,service outcome evaluation and performance,optimal and heuristic control policy design and optimization,0.513,22,11,service,0.364,marketing,0.227,operations,1.0,accounting,0.0,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14397,financial intermediation and market competition,technology adoption in service industries,0.513,16,11,finance,0.5,organization,0.188,service,0.545,management,0.182,6,14,"Finance, Governance & Regulation",Service Operations & Design
14398,industrial and labor relations,"servicescapes and their design, management, and theory",0.513,19,14,human_resources,0.526,management,0.316,service,0.714,marketing,0.143,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
14399,labor market and supply dynamics,human-robot interaction,0.513,34,26,economics,0.559,management,0.147,service,0.654,marketing,0.154,4,17,Platform Economics & Market Design,AI & Human-Computer Interaction
14400,buyer-supplier relationships,service experience and journey design,0.513,28,12,marketing,0.321,operations,0.25,service,0.5,operations,0.417,13,14,Supply Chain & Contract Management,Service Operations & Design
14401,linear programming and mathematical programming,"servicescapes and their design, management, and theory",0.513,26,14,operations,0.846,management,0.115,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14402,service experience evaluation and management,technology commercialization,0.513,15,19,service,0.667,operations,0.267,economics,0.316,organization,0.211,14,5,Service Operations & Design,Innovation & Technology Management
14403,real options theory and valuation,service experience and journey design,0.513,18,12,information_systems,0.5,operations,0.222,service,0.5,operations,0.417,6,14,"Finance, Governance & Regulation",Service Operations & Design
14404,human-robot interaction,healthcare utilization and access,0.513,26,12,service,0.654,marketing,0.154,economics,0.5,management,0.25,17,10,AI & Human-Computer Interaction,Healthcare Management & Policy
14405,performance analysis and evaluation of queueing systems,justice perceptions and theories in service contexts,0.513,27,13,operations,0.704,management,0.296,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14406,value creation and co-creation in service contexts,audit quality and regulatory framework,0.513,17,12,service,0.588,marketing,0.294,accounting,0.75,ethics,0.167,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
14407,value cocreation in service contexts,queueing theory and models in healthcare operations,0.513,20,14,service,0.75,information_systems,0.1,operations,0.714,management,0.286,18,10,Service-Dominant Logic & Value Co-creation,Healthcare Management & Policy
14408,value cocreation in service contexts,job satisfaction and related outcomes,0.513,20,42,service,0.75,information_systems,0.1,organization,0.333,management,0.167,18,2,Service-Dominant Logic & Value Co-creation,Organizational Behavior & HRM
14409,"audit fees, pricing, and cost structures",transformative service research,0.513,30,17,accounting,0.867,ethics,0.133,service,0.941,marketing,0.059,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
14410,customer behavior,earnings management and measurement,0.513,112,19,service,0.321,operations,0.25,accounting,0.474,ethics,0.316,19,6,Customer Behavior,"Finance, Governance & Regulation"
14411,technology and innovation policy,service experience and journey design,0.513,21,12,economics,0.524,accounting,0.19,service,0.5,operations,0.417,5,14,Innovation & Technology Management,Service Operations & Design
14412,service encounter interaction and process,markov processes and markov chain modeling,0.513,23,16,service,0.609,marketing,0.13,operations,0.875,management,0.062,14,0,Service Operations & Design,Operations Research & Queueing Theory
14413,service encounter interaction and process,auditor-client relationship dynamics and quality,0.513,23,11,service,0.609,marketing,0.13,accounting,0.909,operations,0.091,14,6,Service Operations & Design,"Finance, Governance & Regulation"
14414,new service development,capacity allocation and optimization,0.513,22,21,service,0.455,operations,0.318,operations,0.714,management,0.143,14,0,Service Operations & Design,Operations Research & Queueing Theory
14415,offshoring and outsourcing,justice perceptions and theories in service contexts,0.513,19,13,operations,0.474,ethics,0.105,service,0.615,ethics,0.154,8,7,Strategic Management & Performance,Marketing & Customer Relationship Management
14416,"servicescapes and their design, management, and theory",audit quality and regulatory framework,0.513,14,12,service,0.714,marketing,0.143,accounting,0.75,ethics,0.167,7,6,Marketing & Customer Relationship Management,"Finance, Governance & Regulation"
14417,emotional expression and engagement in service interactions,cooperative game theory and core concepts,0.513,13,12,service,0.615,marketing,0.231,operations,0.917,management,0.083,1,0,Consumer Psychology & Decision Making,Operations Research & Queueing Theory
14418,"customer attitudes, perceptions, and behavioral intentions",regional development economics,0.513,49,46,service,0.367,marketing,0.347,economics,0.391,entrepreneurship,0.174,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
14419,outpatient clinic appointment scheduling,service encounter evaluation and quality,0.513,18,12,operations,0.889,management,0.111,service,0.75,marketing,0.25,10,1,Healthcare Management & Policy,Consumer Psychology & Decision Making
14420,value cocreation in service contexts,simulation for performance evaluation and analysis,0.513,20,13,service,0.75,information_systems,0.1,operations,0.615,management,0.308,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14421,"customer attitudes, perceptions, and behavioral intentions","investment analysis, planning, and management",0.513,49,35,service,0.367,marketing,0.347,finance,0.343,management,0.143,7,6,Marketing & Customer Relationship Management,"Finance, Governance & Regulation"
14422,value creation and co-creation in service contexts,optimal policy design and analysis,0.513,17,17,service,0.588,marketing,0.294,operations,0.765,management,0.235,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14423,service experience evaluation and management,innovation outcomes and evaluation,0.513,15,16,service,0.667,operations,0.267,economics,0.25,information_systems,0.188,14,5,Service Operations & Design,Innovation & Technology Management
14424,"servicescapes and their design, management, and theory",institutional work and change,0.513,14,16,service,0.714,marketing,0.143,organization,0.5,management,0.375,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
14425,inventory control and management,social work and symbolic interaction,0.513,19,14,operations,0.842,management,0.158,service,0.357,human_resources,0.214,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14426,robotics and automation engineering,risk assessment and management processes,0.513,17,11,service,0.412,economics,0.176,accounting,0.364,operations,0.273,5,6,Innovation & Technology Management,"Finance, Governance & Regulation"
14427,justice perceptions and theories in service contexts,information theory and entropy,0.513,13,11,service,0.615,ethics,0.154,economics,0.273,accounting,0.182,7,5,Marketing & Customer Relationship Management,Innovation & Technology Management
14428,new service development,international relations,0.513,22,13,service,0.455,operations,0.318,ethics,0.308,management,0.231,14,3,Service Operations & Design,Institutional & Social Studies
14429,multi-server and many-server queueing models and systems,social work and symbolic interaction,0.513,32,14,operations,0.688,management,0.312,service,0.357,human_resources,0.214,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14430,customer retention and acquisition strategies,service ecosystems theory and research,0.513,70,15,marketing,0.543,service,0.214,service,0.733,marketing,0.2,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
14431,service science and research,brand equity and related constructs,0.513,44,45,service,0.477,information_systems,0.136,marketing,0.667,service,0.178,18,7,Service-Dominant Logic & Value Co-creation,Marketing & Customer Relationship Management
14432,mechanism design theory and approaches,justice perceptions and theories in service contexts,0.513,44,13,operations,0.432,management,0.295,service,0.615,ethics,0.154,4,7,Platform Economics & Market Design,Marketing & Customer Relationship Management
14433,game theory and economic analysis in pricing,employee satisfaction and related attitudes,0.513,20,22,operations,0.4,management,0.25,service,0.364,marketing,0.227,4,2,Platform Economics & Market Design,Organizational Behavior & HRM
14434,humanitarian and nonprofit studies,service satisfaction and quality,0.513,13,10,operations,0.846,ethics,0.077,service,0.5,accounting,0.1,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14435,"audit fees, pricing, and cost structures",value creation and co-creation in service contexts,0.513,30,17,accounting,0.867,ethics,0.133,service,0.588,marketing,0.294,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
14436,technology commercialization,service encounter evaluation and quality,0.513,19,12,economics,0.316,organization,0.211,service,0.75,marketing,0.25,5,1,Innovation & Technology Management,Consumer Psychology & Decision Making
14437,frontline employee behavior and management,optimization under uncertainty,0.513,19,17,service,0.684,marketing,0.316,operations,0.647,management,0.294,2,0,Organizational Behavior & HRM,Operations Research & Queueing Theory
14438,heavy traffic regime analysis,service satisfaction and quality,0.513,24,10,operations,0.833,management,0.167,service,0.5,accounting,0.1,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14439,production and manufacturing systems,emotional expression and engagement in service interactions,0.513,28,13,operations,0.821,management,0.179,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
14440,robust optimization methods and modeling,value creation and co-creation in service contexts,0.513,30,17,operations,0.867,management,0.133,service,0.588,marketing,0.294,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14441,capacity allocation and optimization,service ecosystems theory and research,0.513,21,15,operations,0.714,management,0.143,service,0.733,marketing,0.2,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14442,markov decision processes and applications,service experience evaluation and management,0.513,28,15,operations,0.786,management,0.107,service,0.667,operations,0.267,0,14,Operations Research & Queueing Theory,Service Operations & Design
14443,frontline employee behavior and management,employment and labour relations,0.513,19,19,service,0.684,marketing,0.316,management,0.368,human_resources,0.316,2,3,Organizational Behavior & HRM,Institutional & Social Studies
14444,robust optimization methods and modeling,transformative service research,0.513,30,17,operations,0.867,management,0.133,service,0.941,marketing,0.059,0,3,Operations Research & Queueing Theory,Institutional & Social Studies
14445,telecommunications economics and investment,employee satisfaction and related attitudes,0.513,22,22,information_systems,0.364,economics,0.182,service,0.364,marketing,0.227,4,2,Platform Economics & Market Design,Organizational Behavior & HRM
14446,frontline employee behavior and management,housing market economics and dynamics,0.513,19,15,service,0.684,marketing,0.316,economics,0.467,finance,0.467,2,4,Organizational Behavior & HRM,Platform Economics & Market Design
14447,markov processes and markov chain modeling,emotional expression and engagement in service interactions,0.513,16,13,operations,0.875,management,0.062,service,0.615,marketing,0.231,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
14448,economics of innovation and growth,"servicescapes and their design, management, and theory",0.513,53,14,economics,0.434,accounting,0.189,service,0.714,marketing,0.143,5,7,Innovation & Technology Management,Marketing & Customer Relationship Management
14449,stochastic process theory and analysis,justice perceptions and theories in service contexts,0.513,114,13,operations,0.842,management,0.14,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14450,service science and research,race and ethnic studies,0.513,44,23,service,0.477,information_systems,0.136,economics,0.304,marketing,0.304,18,3,Service-Dominant Logic & Value Co-creation,Institutional & Social Studies
14451,employment and labour relations,justice perceptions and theories in service contexts,0.513,19,13,management,0.368,human_resources,0.316,service,0.615,ethics,0.154,3,7,Institutional & Social Studies,Marketing & Customer Relationship Management
14452,justice perceptions and theories in service contexts,institutional work and change,0.513,13,16,service,0.615,ethics,0.154,organization,0.5,management,0.375,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
14453,service experience evaluation and management,cooperative game theory and core concepts,0.513,15,12,service,0.667,operations,0.267,operations,0.917,management,0.083,14,0,Service Operations & Design,Operations Research & Queueing Theory
14454,stochastic optimization and programming models,emotional and cognitive responses to service failures,0.513,86,10,operations,0.814,management,0.174,service,0.5,marketing,0.3,0,1,Operations Research & Queueing Theory,Consumer Psychology & Decision Making
14455,healthcare policy and management,service encounter interaction and process,0.513,25,23,operations,0.56,information_systems,0.16,service,0.609,marketing,0.13,10,14,Healthcare Management & Policy,Service Operations & Design
14456,employee satisfaction and related attitudes,financial reporting quality and reliability,0.513,22,20,service,0.364,marketing,0.227,accounting,0.7,ethics,0.15,2,6,Organizational Behavior & HRM,"Finance, Governance & Regulation"
14457,service ecosystems theory and research,portfolio management and strategy,0.513,15,16,service,0.733,marketing,0.2,finance,0.312,operations,0.312,3,6,Institutional & Social Studies,"Finance, Governance & Regulation"
14458,service experience evaluation and management,mergers and acquisitions,0.513,15,35,service,0.667,operations,0.267,management,0.371,marketing,0.286,14,8,Service Operations & Design,Strategic Management & Performance
14459,innovation measurement and evaluation,justice perceptions and theories in service contexts,0.513,37,13,economics,0.486,finance,0.135,service,0.615,ethics,0.154,5,7,Innovation & Technology Management,Marketing & Customer Relationship Management
14460,value cocreation in service contexts,staffing and scheduling in workforce management,0.513,20,18,service,0.75,information_systems,0.1,operations,0.778,management,0.222,18,0,Service-Dominant Logic & Value Co-creation,Operations Research & Queueing Theory
14461,offshoring and outsourcing,frontline employee behavior and management,0.513,19,19,operations,0.474,ethics,0.105,service,0.684,marketing,0.316,8,2,Strategic Management & Performance,Organizational Behavior & HRM
14462,queueing network models and analysis,"servicescapes and their design, management, and theory",0.513,20,14,operations,0.85,management,0.15,service,0.714,marketing,0.143,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14463,staffing level optimization and policy design,justice perceptions and theories in service contexts,0.513,23,13,operations,0.783,management,0.217,service,0.615,ethics,0.154,0,7,Operations Research & Queueing Theory,Marketing & Customer Relationship Management
14464,value creation and co-creation in service contexts,convex optimization and related techniques,0.513,17,13,service,0.588,marketing,0.294,operations,0.923,information_systems,0.077,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
14465,service outcome evaluation and performance,patent data analysis and innovation studies,0.513,22,37,service,0.364,marketing,0.227,economics,0.27,management,0.189,2,5,Organizational Behavior & HRM,Innovation & Technology Management
14466,taxation theory and policy,value cocreation in service contexts,0.513,42,20,accounting,0.571,ethics,0.143,service,0.75,information_systems,0.1,6,18,"Finance, Governance & Regulation",Service-Dominant Logic & Value Co-creation
14467,multiclass queueing models and systems,robotics and automation engineering,0.513,17,17,operations,0.765,management,0.235,service,0.412,economics,0.176,0,5,Operations Research & Queueing Theory,Innovation & Technology Management
14468,justice perceptions and theories in service contexts,governance and policy studies,0.513,13,13,service,0.615,ethics,0.154,ethics,0.231,economics,0.154,7,3,Marketing & Customer Relationship Management,Institutional & Social Studies
14469,traffic flow and congestion modeling,ai applications in service delivery and systems,0.513,11,10,operations,0.545,management,0.273,service,0.8,marketing,0.2,0,17,Operations Research & Queueing Theory,AI & Human-Computer Interaction
14470,labor market and supply dynamics,transformative service research,0.513,34,17,economics,0.559,management,0.147,service,0.941,marketing,0.059,4,3,Platform Economics & Market Design,Institutional & Social Studies
14471,service experience and journey design,critical management theory and studies,0.513,12,13,service,0.5,operations,0.417,organization,0.385,management,0.308,14,3,Service Operations & Design,Institutional & Social Studies
